"","ko","log2FoldChange","padj","Factor","pathway","description"
"39","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04740","Olfactory transduction"
"40","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04744","Phototransduction"
"41","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05214","Glioma"
"42","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04218","Cellular senescence"
"43","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04070","Phosphatidylinositol signaling system"
"44","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04713","Circadian entrainment"
"45","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04750","Inflammatory mediator regulation of TRP channels"
"46","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04910","Insulin signaling pathway"
"47","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05170","Human immunodeficiency virus 1 infection"
"48","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04015","Rap1 signaling pathway"
"49","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04024","cAMP signaling pathway"
"50","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04016","MAPK signaling pathway - plant"
"51","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05418","Fluid shear stress and atherosclerosis"
"52","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04745","Phototransduction - fly"
"53","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05163","Human cytomegalovirus infection"
"54","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04921","Oxytocin signaling pathway"
"55","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04924","Renin secretion"
"56","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04915","Estrogen signaling pathway"
"57","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04970","Salivary secretion"
"58","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05010","Alzheimer disease"
"59","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04912","GnRH signaling pathway"
"60","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05200","Pathways in cancer"
"61","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05152","Tuberculosis"
"62","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05031","Amphetamine addiction"
"63","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04922","Glucagon signaling pathway"
"64","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04014","Ras signaling pathway"
"65","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04020","Calcium signaling pathway"
"66","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04626","Plant-pathogen interaction"
"67","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04371","Apelin signaling pathway"
"68","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04916","Melanogenesis"
"69","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04722","Neurotrophin signaling pathway"
"70","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05167","Kaposi sarcoma-associated herpesvirus infection"
"71","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04625","C-type lectin receptor signaling pathway"
"72","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko05034","Alcoholism"
"73","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04261","Adrenergic signaling in cardiomyocytes"
"74","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04720","Long-term potentiation"
"75","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04925","Aldosterone synthesis and secretion"
"76","ko:K02183",-0.567316301808546,0.00523693279301369,"Vibrio_Vibrio_vs_Control","path:ko04270","Vascular smooth muscle contraction"
"77","ko:K02872",-2.08441059791786,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko03010","Ribosome"
"78","ko:K02873",-1.80046000240709,1.1550559629156e-06,"Vibrio_Vibrio_vs_Control","path:ko03010","Ribosome"
"79","ko:K02877",2.25148330543023,0.0362994986308459,"Vibrio_Vibrio_vs_Control","path:ko03010","Ribosome"
"80","ko:K02980",-1.82437302355823,0.0159897499028515,"Vibrio_Vibrio_vs_Control","path:ko03010","Ribosome"
"81","ko:K03007",-3.65016293887741,9.67847039344525e-05,"Vibrio_Vibrio_vs_Control","path:ko03020","RNA polymerase"
"82","ko:K03007",-3.65016293887741,9.67847039344525e-05,"Vibrio_Vibrio_vs_Control","path:ko05016","Huntington disease"
"83","ko:K03007",-3.65016293887741,9.67847039344525e-05,"Vibrio_Vibrio_vs_Control","path:ko04623","Cytosolic DNA-sensing pathway"
"84","ko:K03626",2.17312528101574,1.9810574244281e-05,"Vibrio_Vibrio_vs_Control","path:ko04928","Parathyroid hormone synthesis, secretion and action"
"85","ko:K05754",1.17247383043997,0.000829594212175728,"Vibrio_Vibrio_vs_Control","path:ko04144","Endocytosis"
"86","ko:K05754",1.17247383043997,0.000829594212175728,"Vibrio_Vibrio_vs_Control","path:ko04810","Regulation of actin cytoskeleton"
"87","ko:K05754",1.17247383043997,0.000829594212175728,"Vibrio_Vibrio_vs_Control","path:ko05100","Bacterial invasion of epithelial cells"
"88","ko:K05754",1.17247383043997,0.000829594212175728,"Vibrio_Vibrio_vs_Control","path:ko04666","Fc gamma R-mediated phagocytosis"
"89","ko:K05754",1.17247383043997,0.000829594212175728,"Vibrio_Vibrio_vs_Control","path:ko05131","Shigellosis"
"90","ko:K05754",1.17247383043997,0.000829594212175728,"Vibrio_Vibrio_vs_Control","path:ko05132","Salmonella infection"
"91","ko:K05754",1.17247383043997,0.000829594212175728,"Vibrio_Vibrio_vs_Control","path:ko05130","Pathogenic Escherichia coli infection"
"92","ko:K08957",2.29302378480879,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko05165","Human papillomavirus infection"
"93","ko:K08957",2.29302378480879,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko04310","Wnt signaling pathway"
"94","ko:K08957",2.29302378480879,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko04340","Hedgehog signaling pathway"
"95","ko:K08957",2.29302378480879,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko05226","Gastric cancer"
"96","ko:K08957",2.29302378480879,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko05224","Breast cancer"
"97","ko:K08957",2.29302378480879,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko04341","Hedgehog signaling pathway - fly"
"98","ko:K08957",2.29302378480879,0.0344570919927412,"Vibrio_Vibrio_vs_Control","path:ko05225","Hepatocellular carcinoma"
"99","ko:K10704",1.34514041411932,0.0113461901541124,"Vibrio_Vibrio_vs_Control","path:ko04624","Toll and Imd signaling pathway"
"100","ko:K13758",1.49311479086327,0.0420541040281677,"Vibrio_Vibrio_vs_Control","path:ko00230","Purine metabolism"
"101","ko:K14753",0.872872389445198,9.67847039344525e-05,"Vibrio_Vibrio_vs_Control","path:ko05162","Measles"
"102","ko:K16186",2.44441208245751,0.000326258303998238,"Vibrio_Vibrio_vs_Control","path:ko04150","mTOR signaling pathway"
"103","ko:K16186",2.44441208245751,0.000326258303998238,"Vibrio_Vibrio_vs_Control","path:ko04140","Autophagy - animal"
"104","ko:K17920",0.875043179898575,0.00355347640590729,"Menthol_Menthol_vs_Control","path:ko04144","Endocytosis"
"105","ko:K19765",-0.499404424234055,1.67196933857907e-05,"Vibrio_Vibrio_vs_Control","path:ko04212","Longevity regulating pathway - worm"
